state,capital,latitude,longitude,sum,
Alabama,Montgomery,32.36,-86.28,-53.92,
Alaska,Juneau,58.3,-134.42,-76.12,
Arizona,Phoenix,33.45,-112.1,-78.65,
Arkansas,Little Rock,34.75,-92.29,-57.54,
California,Sacramento,38.58,-121.49,-82.91,  
Colorado,Denver,39.74,-104.98,-65.24,
Connecticut,Hartford,41.76,-72.68,-30.92,
Delaware,Dover,39.16,-75.52,-36.36,
District of Columbia,Washington,38.53,-77.02,-38.49,
Florida,Tallahassee,30.44,-84.28,-53.84,
Georgia,Atlanta,33.75,-84.39,-50.64,
Hawaii,Honolulu,21.31,-157.86,-136.55,
Idaho,Boise,43.62,-116.2,-72.58,
Illinois,Springfield,39.8,-89.65,-49.85,
Indiana,Indianapolis,39.77,-86.16,-46.39,
Iowa,Des Moines,41.59,-93.6,-52.01,
Kansas,Topeka,39.05,-95.68,-56.63,
Kentucky,Frankfort,38.19,-84.88,-46.69,
Louisiana,Baton Rouge,30.46,-91.19,-60.73,
Maine,Augusta,44.31,-69.78,-25.47,
Maryland,Annapolis,38.98,-76.49,-37.51,
Massachusetts,Boston,42.36,-71.06,-28.7,
Michigan,Lansing,42.73,-84.56,-41.83,
Minnesota,St. Paul,44.96,-93.1,-48.14,
Mississippi,Jackson,32.3,-90.18,-57.88,
Missouri,Jefferson City,38.58,-92.17,-53.59,
Montana,Helena,46.59,-112.02,-65.43,
Nebraska,Lincoln,40.81,-96.7,-55.89,
Nevada,Carson City,39.16,-119.77,-80.61,
New Hampshire,Concord,43.21,-71.54,-28.33,
New Jersey,Trenton,40.22,-74.77,-34.55,
New Mexico,Santa Fe,35.68,-105.94,-70.26,
New York,Albany,42.65,-73.76,-31.11,
North Carolina,Raleigh,35.78,-78.64,-42.86,
North Dakota,Bismarck,46.82,-100.78,-53.96,
Ohio,Columbus,39.96,-83,-43.04,
Oklahoma,Oklahoma City,35.49,-97.5,-62.01,
Oregon,Salem,44.94,-123.03,-78.09,
Pennsylvania,Harrisburg,40.26,-76.88,-36.62,
Puerto Rico,San Juan,18.47,-66.11,-47.64,
Rhode Island,Providence,41.83,-71.41,-29.58,
South Carolina,Columbia,34,-81.03,-47.03,
South Dakota,Pierre,44.37,-100.35,-55.98,
Tennessee,Nashville,36.17,-86.78,-50.61,
Texas,Austin,30.27,-97.74,-67.47,
Utah,Salt Lake City,40.78,-111.89,-71.11,
Vermont,Montpelier,44.26,-72.58,-28.32,
Virginia,Richmond,37.54,-77.43,-39.89,
Washington,Olympia,47.04,-122.91,-75.87,
West Virginia,Charleston,38.34,-81.61,-43.27,
Wisconsin,Madison,43.07,-89.38,-46.31,
Wyoming,Cheyenne,41.14,-104.82,-63.68,