city,population,latitude,longitude
"New York City, NY",8906247,40.7128,-74.006
"Los Angeles, CA",3918837,34.0522,-118.2437
"Chicago, IL",2821659,41.8819,-87.6278
"Houston, TX",2320365,29.7604,-95.3698
"Phoenix, AZ",1657133,33.4483,-112.0792
"Philadelphia, PA",1610266,39.9526,-75.1692
"San Antonio, TX",1557137,29.4258,-98.5035
"San Diego, CA",1425976,32.7157,-117.1611
"Dallas, TX",1423166,32.7767,-96.7969
"San Jose, CA",1015785,37.3382,-121.8863
"Austin, TX",965235,30.2672,-97.7431
"Jacksonville, FL",907410,30.3317,-81.6556
"San Francisco, CA",881549,37.7749,-122.4194
"Columbus, OH",875743,39.9612,-83.0021
"Indianapolis, IN",874584,39.7684,-86.1667
"Fort Worth, TX",908551,32.7546,-97.3278
"Charlotte, NC",872654,35.2244,-80.8364
"Detroit, MI",678271,42.3314,-83.0457
"Seattle, WA",732337,47.6069,-122.3322