CUSTOMERS,REFERENCE,MALBEC,CABERNET,TORRONTES,Malbec-Cabernet,Cabernet-Souvignion,MALBEC 3/8,CABERNET 3/8,TORRONTES 3/8,,AMMOUNT,CASH,CHECK
La Bodeguita,1346,1,1,,,,,,,,"$ 300,00",,
La Leñita,1347,,,,1,,,,,,"$ 288,00",,
Il Garda,1348,,,1,,,1,1,,,"$ 468,00",,
Los Cardones II,1349,1,1,,,,,1,1,,"$ 636,00",,
los Cardones I,1351,1,1,,,,,,,,"$ 300,00",,
Patio Balcarce,1352,1,,,,,1,,,,"$ 318,00",,
La Tienda,1353,,,,,,1,,1,,"$ 288,00",,
La Leñita,1354,1,1,,,,,,,,"$ 468,00",,
Aruma,1355,2,,,,,,,,,"$ 300,00",,
La Monumental GyT,1356,1,1,,,,,,,,"$ 300,00",,
Jovi II,1357,5,2,2,,,,,2,,"$ 1.650,00",,
Patio Balcarce,1358,1,1,1,,,,,,,"$ 432,00",,
la Monumental SL,1359,1,,,,,,,,,"$ 150,00",,
El Patriarca,1360,1,1,,,,,,,,"$ 300,00",,
La Candelaria,1361,,,,,,,,1,,"$ 168,00","$ 168,00",
Sabores del Norte,1300,,,,,,,2,,,,,"$ 1.610,98"
La Estacion,1180,,,,2,,,,,,,,"$ 800,00"
,1287,,2,,,,,,,,,,"$ 1.000,00"
,1333,,,,,,,,3,,,,"$ 1.540,00"
,1334,,,,,,3,,,,,,"$ 2.221,00"
,1335,,,,,,,1,,,,,"$ 2.224,74"
La Tienda,1338,,,,,,,,2,,,,"$ 720,00"
Hotel Design,1236,,,,,,1,,,,,,"$ 768,00"
Hotel Design,1249,,,,1,,,,,,,,
La Leñita,1267,,,,,,,,2,,,"$ 224,00",
La Leñita,1274,,,2,,,,,,,,"$ 204,00",
La Leñita,1280,,,,2,,,,,,,"$ 580,00",
El gauchito Salteño,1314,,,,,,,1,,,,"$ 300,00",
El Bodegon,1262,,,,,1,,,,,,"$ 64,00",
El Bodegon,1276,,,,,,3,,,,,"$ 36,00",
la Monumental SL,1221,,3,,,,,,,,,"$ 114,00",
Los Cardones I,1342,,,2,,,,,,,,"$ 300,00",
El Patriarca,1281,,,3,,,,,,,,"$ 432,00",
El Cerro,1278,1,,,,,,,,,,"$ 200,00",
La Bodeguita,1250,,,,,,,,1,,,"$ 14,00",
La Bodeguita,1295,,,,,,,,2,,,"$ 486,00",
Il Garda,1227,,,,,,2,,,,,"$ 118,00",
Posada de Caseros,1335,,,,,,,,3,,,"$ 100,00",
El Hornito,1163,,1,,,,,,,,,"$ 100,00",
La Monumental GyT,1242,,2,,,,,,,,,"$ 200,00",
La Monumental TC,1241,,1,,,,,,,,,"$ 50,00",
Aruma,1156,,,,,1,,,,,,"$ 14,00",
Aruma,1288,3,,,,,,,,,,"$ 36,00",
La Leñita,1394,1,1,,,,,,,,"$ 300,00",,
Patio Balcarce,1395,1,,1,,,1,,,,"$ 450,00",,
Posada de Caseros,1396,1,1,,,,,,,,"$ 300,00",,
La Monumental (Centro),1397,1,,1,,,,,,,"$ 282,00",,
La Leñita,1398,1,,,,,1,,,,"$ 318,00",,
Los Cardones I,1399,1,,,,,,,,,"$ 150,00",,
Patio Balcarce,1400,1,,,,,,,,,"$ 150,00",,
ADIUNSA,,1,,,,,,,,,"$ 150,00",,
ADIUNSA,,2,2,1,,,,,,,"$ 732,00","$ 700,00",
La Monumental TC,1401,2,1,,,,,1,,,"$ 618,00",,
Jovi II,1402,3,,3,,,1,1,3,,"$ 1.686,00",,
Importadora Rio de la Plata,1403,3,3,,,,,,,,"$ 792,00",,
La Leñita,1404,,,1,1,,,,,,"$ 336,00",,
Patio Balcarce,1405,2,1,1,,,,,,,"$ 582,00",,
Los Cardones I,1406,1,,,,,,,,,"$ 150,00",,
Hotel Design,1407,,,,,,2,,2,,"$ 672,00",,
La Cordobesa,1296,,,,,,,,2,,,"$ 924,00",
El Gauchito Salteño,1344,,,,,3,,,,,,"$ 298,00",
La Bodeguita,1307,,,,,,,,3,,,"$ 50,00",
La Bodeguita,1323,,3,,,,,,,,,"$ 558,00",
La Bodeguita,1346,,,,,,,1,,,,"$ 300,00",
La Bodeguita,1374,,,,,,,2,,,,"$ 192,00",
El Cerro,1278,,,2,,,,,,,,"$ 220,00",
El Cerro,1313,,,,,,,,3,,,"$ 200,00",
La Leñita,1339,,,,2,,,,,,,"$ 174,00",
La Leñita,1347,2,,,,,,,,,,"$ 288,00",
La Leñita,1354,,,,,,,2,,,,"$ 336,00",
Bonnie,1328,,,,,,,,1,,,"$ 150,00",
El Gauchito Salteño,1384,,,1,,,,,,,,"$ 300,00",
Alejandro I,1259,,,,,1,,,,,,,"$ 1.032,99"
El Patriarca,1327,,,,2,,,,,,,"$ 200,00",
La Monumental SL,1263,,,,,1,,,,,,"$ 200,00",
Patio Balcarce,1341,,3,,,,,,,,,"$ 300,00",
Patio Balcarce,1352,2,,,,,,,,,,"$ 180,00",