,HOTEL,Type,PERIOD,single_room,double_room,triple_room,quadruple_room,jr_suite,Suite2Pax,Luxury ,days_to_cancel_individual_booking,days_to_cancel_group_booking
0,Los Sauces,Hotel,22/12/10 - 03/01/11,233,233,,,321,,466,30,90
1,Los Sauces - foreigners,Hotel,22/12/10 - 03/01/11,303,303,,,419,,605,,
2,Patagonia Park Plaza,Hotel,22/12/10 - 03/01/11,133,133,,,,266,,,
3,Posada Los Alamos,Hotel,22/12/10 - 03/01/11,232,253,289,,330,372,,,
4,Xelena,Hotel,22/12/10 - 03/01/11,160,160,200,,230,346,,7,20
5,Imago,Hotel,22/12/10 - 03/01/11,106,106,160,,180,293,,7,60
6,Design Suites,Hotel,"11/10,24/12/10-03/01/11, SS",153,153,,,173,206,,,
7,Design Suites -  foreigners,Hotel,Full season,106,106,,,133,166,,,
8,Kosten Aike,Hotel,Full season,133,133,166,220,,253,,,
9,Esplendor,Hotel,Full season,121,121,,,,162,,,
10,Alto Calafate,Hotel,Full season,161,161,193,,274,,,,
11,Alto Calafate - Foreigners,Hotel,Full season,132,132,158,,224,,,,
12,Calafate Parque,Hotel,Full season,122,133,157,,,183,,7,
13,Kau Yatun - foreigners,Hotel,11/09-02/10,99,116,200,,,185,,,
14,Kau Yatun,Hotel,,85,99,176,,,162,,,
15,Mirador del Lago (Sup Lago),Hotel,10/09/10 - 03/01/11,163,172,232,,264,,,,
16,Mirador del Lago (Sup),Hotel,10/09/10 - 03/01/11,127,127,165,,,,,,
17,Mirador del Lago (Std),Hotel,10/09/10 - 03/01/11,114,123,154,,,,,,
18,Edenia,Hotel,10/09/10 - 03/01/11,85,99,141,165,,155,,30,60
19,Rochester (Vista Lago),Hotel,10/09/10 - 03/01/11,132,132,152,,,,,,
20,Rochester (Vista Cerro),Hotel,10/09/10 - 03/01/11,88,88,127,,,,,,
21,Rincón de los Sueños,Hotel,10/09/10 - 03/01/11,83,83,110,,,132,,,
22,El Quijote,Hotel,10/09/10 - 03/01/11,127,149,,,,,,,
23,La Cantera (Lago),Hotel,10/09/10 - 03/01/11,140,158,,,,,,,
24,La Cantera (Montaña),Hotel,10/09/10 - 03/01/11,99,131,,,,,,,
25,La Cantera (Lago),Hotel,27/12/10-05/01/11,180,207,,,,,,,
26,La Cantera (Montaña),Hotel,27/12/10-05/01/11,153,179,,,,,,,
27,Michelangelo,Hotel,27/12/10-05/01/11,77,88,107,,,,,30,60
28,Bahía Redonda,Hotel,27/12/10-05/01/11,84,92,107,,,,,7,30
29,Frai Toluca,Hotel,27/12/10-05/01/11,53,60,77,95,,,,,
30,Cerro Calafate (Sup),Hotel,27/12/10-05/01/11,79,79,,,,,,,
31,Cerro Calafate (Std),Hotel,27/12/10-05/01/11,68,68,79,,,,,,
32,Lar Aike (Sup),Hotel,27/12/10-05/01/11,94,94,116,,,,,,
33,Lar Aike (Std),Hotel,27/12/10-05/01/11,83,83,101,,,,,,
34,Sierra Nevada,Hotel,27/12/10-05/01/11,78,87,100,,,,,,
35,Sierra Nevada,Hotel,27/12/10-05/01/11,78,87,100,,,,,7,30
36,Rincón del Calafate,Hotel,27/12/10-05/01/11,78,78,,,,,,7,7
37,Tehuel Plaza,Hotel,27/12/10-05/01/11,66,66,99,,,,,,
38,Terrazas del Calafate,Hotel,27/12/10-05/01/11,88,88,127,,,,,,
39,Terraza Coirones (Lago),Hotel,27/12/10-05/01/11,68,81,,,,,,,
40,Terraza Coirones (Montaña),Hotel,27/12/10-05/01/11,63,72,90,,,,,,
41,Kapenke,Hotel,27/12/10-05/01/11,93,102,153,,,,,,
42,Patagon ,Hotel,27/12/10-05/01/11,93,102,153,,,,,,
43,Picos del Sur,Hotel,27/12/10-05/01/11,86,97,121,,,134,,15,60
44,Shehuen,Hotel,27/12/10-05/01/11,75,83,99,145,,,,,
45,Apart Libertador (Hab),Hotel,27/12/10-05/01/11,77,88,,,,,,,
46,Apart Libertador (Apart),Apart,27/12/10-05/01/11,98,98,130,158,,,,,
47,Apart Linda Vista,Hotel,27/12/10-05/01/11,106,106,119,132,,,,,
48,Patagonia Queen,Hotel,27/12/10-05/01/11,109,119,163,,,,,15,30
49,Lupama (Sup),Inn,27/12/10-05/01/11,93,93,113,,,146,,,
50,Lupama (Std),Inn,27/12/10-05/01/11,113,113,146,,,,,,
51,Kelta,Inn,27/12/10-05/01/11,69,69,87,110,,,,,
52,Kalken,Inn,27/12/10-05/01/11,85,92,120,139,,,,,
53,Posta Sur,Inn,27/12/10-05/01/11,80,84,114,,,,,,
54,Tierra Tehuelche,Inn,27/12/10-05/01/11,80,84,114,,,,,,
55,Los Hielos (Sup),Inn,27/12/10-05/01/11,151,151,,,,,,,
56,Los Hielos (Std),Inn,27/12/10-05/01/11,99,124,149,,,,,,
57,Koi Aiken (Sup),Inn,27/12/10-05/01/11,113,113,133,,,,,,
58,Koi Aiken (Std),Inn,27/12/10-05/01/11,80,91,106,,,,,,
59,Kau Kaleshen,Inn,27/12/10-05/01/11,83,83,103,123,,,,,
60,La Loma (mirador),Hotel,27/12/10-05/01/11,79,104,142,,,,,,
61,La Loma (Jardin),Hotel,27/12/10-05/01/11,73,94,130,159,,,,,
62,Meulen,Inn,27/12/10-05/01/11,66,72,94,104,138,,,,
63,Viento Sur,Inn,27/12/10-05/01/11,69,69,80,,,,,,
64,Hainen,Inn,27/12/10-05/01/11,59,59,67,97,,,,,
65,Posada Karut Josh,Retreat,27/12/10-05/01/11,67,67,83,,,,,,
66,Blanca Patagonia,Hotel,27/12/10-05/01/11,94,94,127,,,194,,,
67,Price in US dollars,,,,,,,,,,,